origin,angles,info
"< 0, 0, 0 >","< 0, 0, 0>" ,"pakData.playlist:fs_1v1"
"< 0, 0, 0 >","< 0, 0, 0>" ,"pakData.map:mp_rr_canyonlands_staging_mu1"
"< 0, 0, 0 >","< 0, 0, 0>" ,"pakData.spawnsCount:6"
"< 0, 0, 0 >","< 0, 0, 0>" ,"pakData.teamCount:2"
"< 0, 0, 0 >","< 0, 0, 0>" ,"pakData.devAutoSave:false"
"< -1446.09, 1162.68, -82.846>","< 0, 14.0464, 0>"  ,"spawn_0"
"< -923.21, 1145.53, -82.854>","< 0, 158.286, 0>" ,"spawn_1"
"< -249.616, -681.606, -83.3716>","< 0, -121.319, 0>" ,"spawn_2"
"< -590.073, -994.316, -83.2974>","< 0, 21.996, 0>"  ,"spawn_3"
"< -6403.93, 4067.01, -453.151>","< 0, 97.4449, 0>"  ,"spawn_4"
"< -6422.02, 5090.61, -458.149>","< 0, -108.878, 0>"  ,"spawn_5"
vector,vector,string
