origin,angles,info
"< 0, 0, 0 >","< 0, 0, 0>" ,"pakData.playlist:fs_1v1"
"< 0, 0, 0 >","< 0, 0, 0>" ,"pakData.map:mp_rr_freedm_skulltown"
"< 0, 0, 0 >","< 0, 0, 0>" ,"pakData.spawnsCount:18"
"< 0, 0, 0 >","< 0, 0, 0>" ,"pakData.teamCount:2"
"< 0, 0, 0 >","< 0, 0, 0>" ,"pakData.devAutoSave:false"
"< 1687.97, 3437.49, 138.842>","< 0, -55.9175, 0>"  ,"spawn_0"
"< 1757.2, 2959.47, 100.725>","< 0, 91.0125, 0>"  ,"spawn_1"
"< 1961.68, 229.955, 278.512>","< 0, -177.909, 0>"  ,"spawn_2"
"< 1498.81, 236.659, 307.093>","< 0, 3.46011, 0>"  ,"spawn_3"
"< 818.858, -3346.29, 91.5775>","< 0, 126.813, 0>"  ,"spawn_4"
"< 589.018, -3092.3, 92.1846>","< 0, -43.4611, 0>"  ,"spawn_5"
"< -3944.42, -3693.43, 83.733>","< 0, 75.4344, 0>"  ,"spawn_6"
"< -3806.2, -3218.35, 70.7397>","< 0, -109.21, 0>"  ,"spawn_7"
"< -4345.53, -3782.67, 89.4866>","< 0, 155.91, 0>"  ,"spawn_8"
"< -4672.9, -3510.06, 97.4848>","< 0, -52.847, 0>"  ,"spawn_9"
"< -3485.57, 1136.99, 71.9812>","< 0, 57.7952, 0>"  ,"spawn_10"
"< -3178.75, 1494.1, 71.9812>","< 0, -132.498, 0>"  ,"spawn_11"
"< -1394.99, 461.986, 64.0313>","< 0, -16.5789, 0>"  ,"spawn_12"
"< -755.464, 355.016, 71.9812>","< 0, 178.944, 0>"  ,"spawn_13"
"< -1434.67, -1184.97, 65.9034>","< 0, 168.964, 0>"  ,"spawn_14"
"< -2061.37, -853.747, 64.0548>","< 0, -25.3696, 0>"  ,"spawn_15"
"< -1469.61, -744.311, 71.9812>","< 0, 57.1756, 0>"  ,"spawn_16"
"< -938.411, -188.671, 64.0313>","< 0, -140.161, 0>"  ,"spawn_17"
vector,vector,string
