"isDisabled","ref","type","baseWeapon","baseMods","supportedAttachments","lootTags","startingLevel","tier","pingCommsAction","fakeAmmoIcon","icon","pickupModel","skinOverride","attachSound","pickupSound_1p","pickupSound_3p","carrySound","pickupString","desc","countPerDrop","inventorySlotCount","netInt","passive","endorsementRef","minPVPCurrency","maxPVPCurrency","scrapValue","droppodRotate","conditional","isDynamic","pretendsToBeBlank","floorSpawnCategory","restrictFromSling","hideFromDeathbox","hideFromBlackMarket","requestCommsAction","cosmeticSkinOverride","brandAsset","collabCharacter"
false,"blank","blank","","","","",0,0,"","","","",0,"","","","","","",1,1,"","","",0,0,0,false,false,false,false,"",false,false,false,"","","",""
false,"mp_weapon_sniper","main_weapon","","crate","","sniper",0,5,"PING_WEAPON_KRABER","rui/hud/gametype_icons/survival/sur_ammo_kraber","","",0,"","survival_loot_pickup_weapon_sniper","survival_loot_pickup_3p_weapon_sniper","","","",1,1,"","","",0,0,20,false,false,false,false,"CORE",false,false,false,"","","",""
false,"mp_weapon_mastiff","main_weapon","","dormant_hopup_executioner","sight mag grip hopup","shotgun",0,1,"PING_WEAPON_MASTIFF","","","",0,"","survival_loot_pickup_weapon_mastiff","survival_loot_pickup_3p_weapon_mastiff","","","",1,1,"","","",0,0,20,false,false,false,false,"CORE",false,false,false,"","","",""
false,"mp_weapon_mastiff_whiteset","main_weapon","mp_weapon_mastiff","optic_cq_hcog_classic shotgun_bolt_l1 stock_tactical_l1","sight mag grip","shotgun whiteset",0,1,"PING_WEAPON_MASTIFF","","","",0,"","survival_loot_pickup_weapon_mastiff","survival_loot_pickup_3p_weapon_mastiff","","","",1,1,"","","",0,0,20,false,false,false,false,"",false,false,false,"","","",""
false,"mp_weapon_mastiff_blueset","main_weapon","mp_weapon_mastiff","optic_cq_hcog_classic shotgun_bolt_l2 stock_tactical_l2","sight mag grip","shotgun blueset",0,2,"PING_WEAPON_MASTIFF","","","",0,"","survival_loot_pickup_weapon_mastiff","survival_loot_pickup_3p_weapon_mastiff","","","",1,1,"","","",0,0,20,false,false,false,false,"",false,false,false,"","","",""
false,"mp_weapon_mastiff_purpleset","main_weapon","mp_weapon_mastiff","optic_cq_hcog_classic shotgun_bolt_l3 stock_tactical_l3","sight mag grip","shotgun purpleset",0,3,"PING_WEAPON_MASTIFF","","","",0,"","survival_loot_pickup_weapon_mastiff","survival_loot_pickup_3p_weapon_mastiff","","","",1,1,"","","",0,0,20,false,false,false,false,"",false,false,false,"","","",""
false,"mp_weapon_mastiff_gold","main_weapon","mp_weapon_mastiff","optic_cq_hcog_classic shotgun_bolt_l3 stock_tactical_l3 hopup_executioner","sight mag grip hopup","shotgun gold",0,4,"PING_WEAPON_MASTIFF","","","",0,"","survival_loot_pickup_weapon_mastiff","survival_loot_pickup_3p_weapon_mastiff","","","",1,1,"","","",0,0,20,false,false,false,false,"",false,false,false,"","","",""
false,"mp_weapon_mastiff_crate","main_weapon","","crate optic_cq_hcog_classic shotgun_bolt_l3","sight","shotgun",0,5,"PING_WEAPON_MASTIFF","rui/hud/gametype_icons/survival/sur_ammo_mastiff","","",0,"","survival_loot_pickup_weapon_mastiff","survival_loot_pickup_3p_weapon_mastiff","","","",1,1,"","","",0,0,20,false,false,false,false,"CORE",false,false,false,"","","",""
false,"mp_weapon_lstar","main_weapon","","","sight grip mag","lmg",0,1,"PING_WEAPON_LSTAR","","","",0,"","survival_loot_pickup_weapon_lstar","survival_loot_pickup_3p_weapon_lstar","","","",1,1,"","","",0,0,20,false,false,false,false,"CORE",false,false,false,"","","",""
false,"mp_weapon_lstar_crate","main_weapon","","crate optic_cq_hcog_bruiser stock_tactical_l3 energy_mag_l3 hopup_lstar_crate","sight hopup","lmg",0,5,"PING_WEAPON_LSTAR","rui/hud/gametype_icons/survival/sur_ammo_lstar","","",0,"","survival_loot_pickup_weapon_lstar","survival_loot_pickup_3p_weapon_lstar","","","",1,1,"","","",0,0,20,false,false,false,false,"CORE",false,false,false,"","","",""
false,"mp_weapon_lstar_whiteset","main_weapon","mp_weapon_lstar","optic_cq_hcog_classic  stock_tactical_l1 energy_mag_l1","sight grip mag","lmg whiteset",0,1,"PING_WEAPON_LSTAR","","","",0,"","survival_loot_pickup_weapon_lstar","survival_loot_pickup_3p_weapon_lstar","","","",1,1,"","","",0,0,20,false,false,false,false,"",false,false,false,"","","",""
false,"mp_weapon_lstar_blueset","main_weapon","mp_weapon_lstar","optic_cq_hcog_bruiser stock_tactical_l2 energy_mag_l2","sight grip mag","lmg blueset",0,2,"PING_WEAPON_LSTAR","","","",0,"","survival_loot_pickup_weapon_lstar","survival_loot_pickup_3p_weapon_lstar","","","",1,1,"","","",0,0,20,false,false,false,false,"",false,false,false,"","","",""
false,"mp_weapon_lstar_purpleset","main_weapon","mp_weapon_lstar","optic_cq_hcog_bruiser stock_tactical_l3 energy_mag_l3","sight grip mag","lmg purpleset",0,3,"PING_WEAPON_LSTAR","","","",0,"","survival_loot_pickup_weapon_lstar","survival_loot_pickup_3p_weapon_lstar","","","",1,1,"","","",0,0,20,false,false,false,false,"",false,false,false,"","","",""
false,"mp_weapon_lstar_gold","main_weapon","mp_weapon_lstar","optic_cq_hcog_bruiser stock_tactical_l3 energy_mag_l3 hopup_ultimate_accelerator","sight grip mag hopup","lmg gold",0,4,"PING_WEAPON_LSTAR","","","",0,"","survival_loot_pickup_weapon_lstar","survival_loot_pickup_3p_weapon_lstar","","","",1,1,"","","",0,0,20,false,false,false,false,"",false,false,false,"","","",""
false,"mp_weapon_energy_ar","main_weapon","","dormant_hopup_turbocharger","sight mag grip hopup","assault",0,1,"PING_WEAPON_ENERGY_AR","","","",0,"","survival_loot_pickup_weapon_lstar","survival_loot_pickup_3p_weapon_lstar","","","",1,1,"","","",0,0,20,false,false,false,false,"CORE",false,false,false,"","","",""
false,"mp_weapon_energy_ar_whiteset","main_weapon","mp_weapon_energy_ar","optic_cq_hcog_classic energy_mag_l1 stock_tactical_l1","sight mag grip","assault whiteset",0,1,"PING_WEAPON_ENERGY_AR","","","",0,"","survival_loot_pickup_weapon_lstar","survival_loot_pickup_3p_weapon_lstar","","","",1,1,"","","",0,0,20,false,false,false,false,"",false,false,false,"","","",""
false,"mp_weapon_energy_ar_blueset","main_weapon","mp_weapon_energy_ar","optic_cq_hcog_bruiser energy_mag_l2 stock_tactical_l2","sight mag grip","assault blueset",0,2,"PING_WEAPON_ENERGY_AR","","","",0,"","survival_loot_pickup_weapon_lstar","survival_loot_pickup_3p_weapon_lstar","","","",1,1,"","","",0,0,20,false,false,false,false,"",false,false,false,"","","",""
false,"mp_weapon_energy_ar_purpleset","main_weapon","mp_weapon_energy_ar","optic_cq_hcog_bruiser energy_mag_l3 stock_tactical_l3","sight mag grip","assault purpleset",0,3,"PING_WEAPON_ENERGY_AR","","","",0,"","survival_loot_pickup_weapon_lstar","survival_loot_pickup_3p_weapon_lstar","","","",1,1,"","","",0,0,20,false,false,false,false,"",false,false,false,"","","",""
false,"mp_weapon_energy_ar_gold","main_weapon","mp_weapon_energy_ar","optic_cq_hcog_bruiser energy_mag_l3 stock_tactical_l3 hopup_turbocharger","sight mag grip hopup","assault gold",0,4,"PING_WEAPON_ENERGY_AR","","","",0,"","survival_loot_pickup_weapon_lstar","survival_loot_pickup_3p_weapon_lstar","","","",1,1,"","","",0,0,20,false,false,false,false,"",false,false,false,"","","",""
false,"mp_weapon_energy_ar_crate","main_weapon","","crate hopup_selectfire optic_ranged_aog_variable stock_tactical_l3 energy_mag_l3 stock_tactical_l3","sight hopup","assault",0,5,"PING_WEAPON_ENERGY_AR","rui/hud/gametype_icons/survival/sur_ammo_lstar","","",0,"","survival_loot_pickup_weapon_lstar","survival_loot_pickup_3p_weapon_lstar","","","",1,1,"","","",0,0,20,false,false,false,false,"CORE",false,false,false,"","","",""
false,"mp_weapon_esaw","main_weapon","","dormant_hopup_turbocharger","sight mag barrel grip hopup","lmg",0,1,"PING_WEAPON_DEVOTION","","","",0,"","survival_loot_pickup_weapon_esaw","survival_loot_pickup_3p_weapon_esaw","","","",1,1,"","","",0,0,20,false,false,false,false,"CORE",false,false,false,"","","",""
false,"mp_weapon_esaw_crate","main_weapon","","crate hopup_turbocharger hopup_gunshield optic_cq_hcog_bruiser energy_mag_l3 barrel_stabilizer_l3 stock_tactical_l3","sight hopupMulti_a hopupMulti_b","lmg",0,5,"PING_WEAPON_DEVOTION","rui/hud/gametype_icons/survival/sur_ammo_lstar","","",0,"","survival_loot_pickup_weapon_esaw","survival_loot_pickup_3p_weapon_esaw","","","",1,1,"","","",0,0,20,false,false,false,false,"CORE",false,false,false,"","","",""
false,"mp_weapon_esaw_whiteset","main_weapon","mp_weapon_esaw","optic_cq_hcog_classic energy_mag_l1 barrel_stabilizer_l1 stock_tactical_l1","sight mag barrel grip","lmg whiteset",0,1,"PING_WEAPON_DEVOTION","","","",0,"","survival_loot_pickup_weapon_esaw","survival_loot_pickup_3p_weapon_esaw","","","",1,1,"","","",0,0,20,false,false,false,false,"",false,false,false,"","","",""
false,"mp_weapon_esaw_blueset","main_weapon","mp_weapon_esaw","optic_cq_hcog_bruiser energy_mag_l2 barrel_stabilizer_l2 stock_tactical_l2","sight mag barrel grip","lmg blueset",0,2,"PING_WEAPON_DEVOTION","","","",0,"","survival_loot_pickup_weapon_esaw","survival_loot_pickup_3p_weapon_esaw","","","",1,1,"","","",0,0,20,false,false,false,false,"",false,false,false,"","","",""
