"groupRef","entryRef","entryDistribution","groupTier","priority"
"","",0,0,0
"Zone_Low","",0,1,0
"","Weapon_Low",20.5,0,0
"","ammo",13,0,0
"","Health_Small",10,0,0
"","Health_Large",4,0,0
"","ordnance",12,0,0
"","Attachment_Low",14.9,0,0
"","Backpack_Low",1,0,0
"","Incapshield_Low",0.5,0,0
"","Survival_Items",0.4,0,0
"","augments",0.4,0,0
"","blank",14,0,0
"","",0,0,0
"Zone_Medium","",0,2,0
"","Weapon_Medium",20.5,0,0
"","ammo",13,0,0
"","Health_Small",9,0,0
"","Health_Large",5,0,0
"","ordnance",11,0,0
"","Attachment_Medium",14.7,0,0
"","Backpack_Medium",1.1,0,0
"","Incapshield_Medium",0.5,0,0
"","Survival_Items",1,0,0
"","augments",0.4,0,0
"","blank",14,0,0
"","",0,0,0
"Zone_High","",0,3,0
"","Weapon_High",20.5,0,0
"","ammo",13,0,0
"","Health_Small",7.5,0,0
"","Health_Large",5.5,0,0
"","ordnance",9,0,0
"","Attachment_High",15.3,0,0
"","Backpack_High",1.1,0,0
"","Incapshield_High",1,0,0
"","Survival_Items",1,0,0
"","augments",0.5,0,0
"","blank",10.5,0,0
"","",0,0,0
"honeypot","",0,0,0
"","Attachment_L1",8,0,0
"","Attachment_L2",27,0,0
"","Attachment_L3",16,0,0
"","Attachment_L4",0,0,0
"","corrupted_attachments",6,0,0
"","Backpack_2",4,0,0
"","Backpack_3",6,0,0
"","augments",17,0,0
"","hopup_points_pickup",8,0,0
"","mp_pickup_xp_cache",8,0,0
"","mp_pickup_xp_cache_large",0,0,0
"","",0,0,0
"honeypot_super","",0,0,0
"","Attachment_L1",0,0,0
"","Attachment_L2",25,0,0
"","Attachment_L3",31,0,0
"","Attachment_L4",0,0,0
"","corrupted_attachments",10,0,0
"","Backpack_2",0,0,0
"","Backpack_3",8,0,0
"","top_tier_health",100,0,0
"","hopup_points_pickup",0,0,0
"","mp_pickup_xp_cache",0,0,0
"","mp_pickup_xp_cache_large",7,0,0
"","",0,0,0
"essentials","",0,0,0
"","Backpack_3",13,0,0
"","Backpack_2",7,0,0
"","Weapon_High",30,0,0
"","Health_High",20,0,0
"","augments",10,0,0
"","",0,0,0
"Zone_Extra_Low_Ranked","",0,3,0
"","Weapon_Low",20.5,0,0
"","ammo",13,0,0
"","Health_Small",10,0,0
"","Health_Large",4,0,0
"","ordnance",12,0,0
"","Attachment_Low",14.9,0,0
"","Helmet_Low",0.5,0,0
"","Backpack_Low",1,0,0
"","Incapshield_Low",0.5,0,0
"","Survival_Items",0.4,0,0
"","augments",0.15,0,0
"","blank",26,0,0
"","",0,0,0
"Zone_Low_Ranked","",0,3,0
"","Weapon_Low",20.5,0,0
"","ammo",13,0,0
"","Health_Small",10,0,0
"","Health_Large",4,0,0
"","ordnance",12,0,0
"","Attachment_Low",14.9,0,0
"","Helmet_Low",0.5,0,0
"","Backpack_Low",1,0,0
"","Incapshield_Low",0.5,0,0
"","Survival_Items",0.4,0,0
"","augments",0.2,0,0
"","blank",19.5,0,0
"","",0,0,0
"Zone_Medium_Ranked","",0,3,0
"","Weapon_Medium",20.5,0,0
"","ammo",13,0,0
"","Health_Small",9,0,0
"","Health_Large",5,0,0
"","ordnance",11,0,0
"","Attachment_Medium",14.7,0,0
"","Helmet_Medium",0.5,0,0
"","Backpack_Medium",1,0,0
"","Incapshield_Medium",0.5,0,0
"","Survival_Items",1,0,0
"","augments",0.28,0,0
"","blank",13,0,0
"","",0,0,0
"Zone_High_Ranked","",0,3,0
"","Weapon_High",20.5,0,0
"","ammo",13,0,0
"","Health_Small",7.5,0,0
"","Health_Large",5.5,0,0
"","ordnance",9,0,0
"","Attachment_Medium",15.3,0,0
"","Helmet_High",1,0,0
"","Backpack_High",1,0,0
"","Incapshield_High",0.75,0,0
"","Survival_Items",1,0,0
"","augments",0.37,0,0
"","blank",6.5,0,0
"","",0,0,0
"Zone_Extra_High_Ranked","",0,3,0
"","Weapon_High",20.5,0,0
"","ammo",13,0,0
"","Health_Small",6.5,0,0
"","Health_Large",6.5,0,0
"","ordnance",8,0,0
"","Attachment_High",15.3,0,0
"","Helmet_High",3,0,0
"","Backpack_High",1,0,0
"","Incapshield_High",1,0,0
"","Survival_Items",2,0,0
"","augments",0.5,0,0
"","blank",0,0,0
"","",0,0,0
"Zone_Ultra_High_Ranked","",0,3,0
"","Weapon_High",20.5,0,0
"","ammo",13,0,0
"","Health_Small",5,0,0
"","Health_Large",8,0,0
"","ordnance",8,0,0
"","Attachment_High",20,0,0
"","Helmet_High",3,0,0
"","Backpack_High",5,0,0
"","Incapshield_High",2,0,0
